award number,published_year,investigators
9801949,1998,"Fortmann,Louise"
6931164,1969,
9551046,1995,"Scuderi,Louis"
0314710,2003,"Roe,Gerard|Bitz,Cecilia|Putkonen,Jaakko"
9304124,1993,"McHugh,Kevin"
8822459,1989,"Hewings,Geoffrey J"
8014246,1980,"Brown,Dwight"
0351004,2004,"Zwick,Martin|Fountain,Andrew"
0552364,2006,"Pinter,Nicholas"
0082009,2000,"Proctor,James"
7140229,1971,
9313704,1994,"Parker,Albert|Parker,Kathleen"
9701555,1997,"MacEachren,Alan"
0098389,2001,"Onsrud,Harlan"
8310577,1983,"Huff,James"
9204521,1992,"Davidson,Jennifer|Cressie,Noel"
9901082,1999,"Lo,Chor-Pang"
9403608,1993,"Anthes,Richard"
0927640,2009,"Beymer,Betsy|Bassett,Thomas"
0730195,2007,"Scherr,Alexander|Martin,Deborah"
0849826,2009,"Elliott,James"
9896014,1997,"Moran,Emilio"
0803102,2008,"Kinzig,Ann"
9017172,1990,"Lopez,Xavier|Gakenheimer,Ralph"
7923693,1979,"Johnson,William"
9002699,1990,"O'Loughlin,John"
0117338,2001,"Liu,Kam-biu"
9001343,1990,
6931161,1969,
9911526,2000,"Souch,Catherine|Filippelli,Gabriel"
9818850,1999,"Feddema,Johannes|Myers,Garth"
0911642,2009,"Kendall,Anthony|Van Dam,Remke|Hyndman,David"
9009137,1990,"Robinson,Jennifer"
8711514,1987,"Wyckoff,William|Hansen,Katherine"
9205094,1992,"Dorn,Ronald"
0237980,2003,"Elwood,Sarah"
0351288,2004,"Odland,John"
9811322,1998,"Rhoads,Bruce"
8810917,1988,"Tobler,Waldo|Smith,Terence|Estes,John|Goodchild,Michael"
9022845,1991,"Monmonier,Mark"
9801943,1998,"O'Loughlin,John"
9452794,1995,"Gersmehl,Philip"
9111588,1991,"Horn,Sally"
9158230,1991,"Bauer,Bernard|Sherman,Douglas"
9017202,1991,"Marsh,Bruce|Veblen,David|Ferry,John"
8703206,1987,"Ribot,Jesse|Watts,Michael"
8309699,1983,"Patten,Duncan|Marcus,Melvin"
9112757,1991,"Beatty,Susan"
9116988,1991,"Ward,Matthew|Gennert,Michael|Hachem,Nabil"
9321930,1993,"Ollenburger,Jane|Tobin,Graham"
9411168,1994,"Shrestha,Nanda"
9726862,1997,"Hopkinson,Charles"
9009285,1990,"Meyer,David"
9452769,1995,"Akuginow,Erna|Riel,Margaret|Haines-Stiles,Geoffrey"
7680408,1976,"Reynolds,David"
9819911,1999,"Bell,James|O'Loughlin,John"
8606309,1986,"Smith,Tony"
9001862,1990,"Cressie,Noel"
9710957,1997,"Sparke,Matthew"
0908030,2008,"Matisziw,Timothy"
0302670,2003,"Harrington,James"
6216056,1962,
9420686,1994,"Magilligan,Francis"
8515592,1986,"Goss,Jonathan|Leinbach,Thomas"
8318880,1984,"Richardson,Harry|Gordon,Peter"
0454993,2005,"Kyriakidis,Phaedon|Sweeney,Stuart"
8017712,1980,"Kates,Robert"
8020241,1981,"Hoffman,George"
7804604,1978,"Barrett,Ward"
0111481,2001,"Nyerges,Timothy|Jankowski,Piotr"
9724988,1998,"Smith,Neil"
8120871,1982,"MacKay,David"
8024562,1981,"Stafford,Howard"
9511129,1995,"Lawson,Victoria"
9710068,1997,"Rhoads,Bruce"
8608902,1986,"Roberts,Rebecca"
8713237,1987,"Veblen,Thomas"
0136378,2002,"Conway,Howard"
9628027,1996,"Parker,Kathleen"
0924534,2009,"Klippel,Alexander"
8512435,1985,"Anas,Alex"
8209401,1982,"LeBlanc,Larry"
9320786,1994,"Robinson,David"
0424066,2004,"Shatkin,Gavin"
0923909,2009,"Joyce,Arthur"
9213611,1992,"Markusen,Ann"
7910235,1979,"Kresge,David"
8212961,1982,"Desbarats,Jacquelin"
8814111,1989,"Borko,Harold"
9802363,1998,"Zimmerer,Karl"
9911315,2000,"Konrad,Charles"
8719003,1988,"Parker,Stephen"
0351430,2004,"Song,Conghe"
8400400,1984,"Fuchs,Roland"
9628723,1996,"Rocheleau,Dianne"
67S1363,1967,
9708240,1997,"Graf,William"
8409936,1985,"Delehanty,James|Porter,Philip"
9305436,1993,
0824667,2008,"Beyer,Kirsten|Rushton,Gerard"
0550585,2006,"Mitchell,Donald"
8613982,1986,"Wilder,Margaret"
8208104,1982,"Hall,Peter|Markusen,Ann"
0322850,2003,"Nislow,Keith|Renshaw,Carl|Heimsath,Arjun|Magilligan,Francis"
8105892,1981,"Huff,James"
0648615,2007,"Montgomery,David"
0096078,1999,"Grant,Richard"
8111461,1981,"Hiscox,William|Maier,Michael"
68S2037,1968,
0138588,2002,"Harvey,Charles|Islam,Shafiqul"
8722383,1988,"Pratt,Geraldine|Hanson,Susan"
8619377,1987,"MacKay,David"
0440511,2005,"Filippi,Anthony|Bednarz,Robert|Klein,Andrew|Bednarz,Sarah"
9906604,1999,"Blaut,James"
8696078,1986,"Jackson,Randall"
8916528,1990,"Kim,Tschangho"
9105865,1991,"Mensing,Scott|Byrne,A. Roger"
9812141,1998,"Doonan,William"
0717688,2007,"Emch,Michael"
8821432,1989,"Gersmehl,Philip"
0502020,2005,"Getis,Arthur"
8024565,1981,"Brown,Lawrence"
8120405,1982,"Jakubs,John"
0727187,2007,"Padoch,Christine"
0116876,2001,"McCarthy,Linda|Lindquist,Peter|Schneider,Karl|Lawrence,Patrick|Czajkowski,Kevin"
0079320,2000,"Jacobs,Peter"
65E7065,1965,
9732855,1997,"Black,William"
9013329,1990,"Herwitz,Stanley"
8719442,1988,"Berger,C. Rainer"
0850593,2009,"Attig,John"
9300017,1993,"Zurick,David"
9207878,1992,"Binford,Michael"
0623442,2007,"Shuman,Bryan"
9310369,1993,"Featherman,David|Prewitt,Kenneth"
9810908,1998,"Graf,William"
0241298,2003,"Psuty,Norbert"
9801700,1998,"AlSayyad,Nezar"
0322349,2003,"Kyriakidis,Phaedon"
9014439,1990,
8414703,1984,"Scranton,Philip"
0705358,2006,"Wood,Andrew"
8804693,1988,"Barron,Eric"
8910702,1989,"Herb,Guntram|Woodward,David"
0095641,2001,"Stow,Douglas|Getis,Arthur|Gadalla,Mahmoud|Weeks,John"
8420781,1985,"Eagleson,Peter"
9906002,1999,"Liu,Kam-biu"
9900942,1999,"Franklin,Janet"
0622916,2006,"Rhoads,Bruce"
9729571,1998,"Woodhouse,Connie"
9002700,1990,"Isard,Scott"
0752019,2008,"Lin,Ge"
0101424,2001,"Rhoads,Bruce|Abrahams,Athol"
9975705,1999,"Woodward,David"
0080229,2001,"Lozovsky,Natalia"
9907221,1999,"Brook,George"
8706689,1988,"Grossman,Lawrence"
0418166,2004,"Jackson,Stephen|Woodhouse,Connie|Kaye,Margot"
0078141,2000,"Newbold,K. Bruce"
8618778,1987,"Mark,David"
8896246,1988,"Dorn,Ronald"
9104753,1991,
8014255,1980,"Dunn,Edgar"
8308118,1983,"Morrill,Richard"
0350527,2004,"O'Lear,Shannon"
8617482,1987,"Defries,Ruth"
9119725,1992,"Madden,Marguerite|Welch,Roy|Chalmers,Alice|Alberts,James"
8400673,1984,"Osleeb,Jeffrey"
9001243,1990,"Butzer,Karl"
8822273,1989,"Markusen,Ann"
9207863,1992,"Cox,Kevin"
9155264,1992,"Barnhart,Phyllis|Behling,Robert|Repine,Thomas|King,Hobart"
9321163,1994,"Jones,John|Nast,Heidi|Ulack,Richard|Roberts,Susan"
9711774,1997,"Jones,Julia"
9551423,1995,"Bouman,Mark|Mulugeta,Gebeyehu"
9908647,1999,"MAYER,JUDITH|Randolph,John"
7520448,1975,"Cohen,Saul"
